,month,day,temp,RH,wind,rain,area
0,mar,fri,8.2,51,6.7,0.0,0.0
1,oct,tue,18.0,33,0.9,0.0,0.0
2,oct,sat,14.6,33,1.3,0.0,0.0
3,mar,fri,8.3,97,4.0,0.2,0.0
4,mar,sun,11.4,99,1.8,0.0,0.0
5,aug,sun,22.2,29,5.4,0.0,0.0
6,aug,mon,24.1,27,3.1,0.0,0.0
7,aug,mon,8.0,86,2.2,0.0,0.0
8,sep,tue,13.1,63,5.4,0.0,0.0
9,sep,sat,22.8,40,4.0,0.0,0.0
10,sep,sat,17.8,51,7.2,0.0,0.0
11,sep,sat,19.3,38,4.0,0.0,0.0
12,aug,fri,17.0,72,6.7,0.0,0.0
13,sep,mon,21.3,42,2.2,0.0,0.0
14,sep,wed,26.4,21,4.5,0.0,0.0
15,sep,fri,22.9,44,5.4,0.0,0.0
16,mar,sat,15.1,27,5.4,0.0,0.0
17,oct,mon,16.7,47,4.9,0.0,0.0
18,mar,wed,15.9,35,4.0,0.0,0.0
19,apr,sat,9.3,44,4.5,0.0,0.0
20,sep,tue,18.3,40,2.7,0.0,0.0
21,sep,mon,19.1,38,2.7,0.0,0.0
22,jun,sun,21.0,44,4.5,0.0,0.0
23,aug,sat,19.5,43,5.8,0.0,0.0
24,aug,sat,23.7,32,5.8,0.0,0.0
25,aug,sun,16.3,60,5.4,0.0,0.0
26,sep,fri,19.0,34,5.8,0.0,0.0
27,sep,mon,19.4,48,1.3,0.0,0.0
28,sep,sat,30.2,24,2.7,0.0,0.0
29,sep,sun,22.8,39,3.6,0.0,0.0
30,sep,fri,25.4,24,3.6,0.0,0.0
31,sep,mon,11.2,78,7.6,0.0,0.0
32,sep,fri,20.6,37,1.8,0.0,0.0
33,sep,sun,17.7,39,3.6,0.0,0.0
34,sep,mon,21.2,32,2.7,0.0,0.0
35,sep,tue,18.2,62,4.5,0.0,0.0
36,oct,tue,21.7,24,4.5,0.0,0.0
37,oct,fri,11.3,60,5.4,0.0,0.0
38,oct,sat,17.8,27,4.0,0.0,0.0
39,mar,tue,14.1,43,2.7,0.0,0.0
40,jul,tue,23.3,37,3.1,0.0,0.0
41,aug,sat,18.4,42,6.7,0.0,0.0
42,aug,tue,16.6,54,5.4,0.0,0.0
43,sep,sat,19.6,48,2.7,0.0,0.0
44,sep,wed,12.9,74,4.9,0.0,0.0
45,sep,wed,25.9,24,4.0,0.0,0.0
46,sep,mon,14.7,70,3.6,0.0,0.0
47,jul,mon,23.0,36,3.1,0.0,0.0
48,mar,mon,11.8,35,1.8,0.0,0.0
49,mar,mon,11.0,46,5.8,0.0,0.0
50,sep,thu,20.8,17,1.3,0.0,0.0
51,aug,sun,21.5,34,2.2,0.0,0.0
52,aug,wed,20.4,42,4.9,0.0,0.0
53,aug,wed,20.4,42,4.9,0.0,0.0
54,aug,thu,17.6,45,3.6,0.0,0.0
55,sep,thu,27.7,24,2.2,0.0,0.0
56,sep,tue,17.8,63,4.9,0.0,0.0
57,oct,sun,13.8,50,2.7,0.0,0.0
58,feb,mon,13.9,40,5.4,0.0,0.0
59,feb,fri,12.3,51,0.9,0.0,0.0
60,mar,sun,11.5,39,5.8,0.0,0.0
61,mar,sun,5.5,59,6.3,0.0,0.0
62,aug,thu,18.8,35,4.9,0.0,0.0
63,aug,sun,20.8,33,2.7,0.0,0.0
64,aug,mon,23.1,31,3.1,0.0,0.0
65,aug,thu,18.6,44,4.5,0.0,0.0
66,sep,fri,23.0,37,4.5,0.0,0.0
67,sep,fri,19.6,33,5.4,0.0,0.0
68,sep,fri,19.6,33,6.3,0.0,0.0
69,mar,fri,17.2,26,4.5,0.0,0.0
70,mar,fri,15.8,27,7.6,0.0,0.0
71,sep,fri,17.7,37,3.6,0.0,0.0
72,mar,fri,15.6,25,6.3,0.0,0.0
73,aug,tue,17.3,43,4.5,0.0,0.0
74,sep,fri,27.6,30,1.3,0.0,0.0
75,feb,thu,6.7,79,3.1,0.0,0.0
76,feb,fri,15.7,43,3.1,0.0,0.0
77,mar,mon,8.3,72,3.1,0.0,0.0
78,aug,fri,14.7,66,2.7,0.0,0.0
79,aug,tue,21.6,19,6.7,0.0,0.0
80,aug,sun,19.5,39,6.3,0.0,0.0
81,aug,sun,17.9,44,2.2,0.0,0.0
82,aug,tue,18.6,51,4.5,0.0,0.0
83,aug,wed,16.6,47,0.9,0.0,0.0
84,aug,thu,20.2,45,3.6,0.0,0.0
85,sep,thu,21.5,15,0.9,0.0,0.0
86,sep,thu,25.4,27,2.2,0.0,0.0
87,sep,thu,22.4,34,2.2,0.0,0.0
88,sep,sun,25.3,36,3.6,0.0,0.0
89,mar,sat,17.4,25,4.9,0.0,0.0
90,aug,sat,14.7,59,5.8,0.0,0.0
91,mar,fri,17.4,24,5.4,0.0,0.0
92,aug,sun,20.8,32,6.3,0.0,0.0
93,aug,sun,18.2,43,4.9,0.0,0.0
94,aug,mon,23.4,22,2.7,0.0,0.0
95,sep,sun,17.8,64,1.3,0.0,0.0
96,feb,sat,12.7,48,1.8,0.0,0.0
97,mar,sat,17.4,24,5.4,0.0,0.0
98,aug,sun,11.6,87,4.5,0.0,0.0
99,aug,sun,19.8,39,5.4,0.0,0.0
100,aug,sun,19.8,39,5.4,0.0,0.0
101,aug,tue,14.4,66,5.4,0.0,0.0
102,aug,tue,20.1,40,4.0,0.0,0.0
103,sep,sat,24.1,29,4.5,0.0,0.0
104,jan,sat,5.3,78,3.1,0.0,0.0
105,mar,fri,12.7,52,6.3,0.0,0.0
106,mar,thu,18.2,29,3.1,0.0,0.0
107,aug,sun,21.4,33,3.1,0.0,0.0
108,sep,sat,20.3,45,3.1,0.0,0.0
109,sep,mon,17.4,56,5.4,0.0,0.0
110,mar,fri,13.7,43,5.8,0.0,0.0
111,mar,fri,18.8,18,4.5,0.0,0.0
112,sep,sun,22.8,39,3.6,0.0,0.0
113,sep,mon,18.9,35,2.7,0.0,0.0
114,mar,tue,15.8,27,7.6,0.0,0.0
115,mar,tue,15.5,27,6.3,0.0,0.0
116,mar,sat,11.6,30,6.3,0.0,0.0
117,mar,sat,15.2,27,4.9,0.0,0.0
118,mar,mon,10.6,30,4.0,0.0,0.0
119,aug,thu,19.6,36,3.1,0.0,0.0
120,aug,mon,10.3,74,2.2,0.0,0.0
121,aug,mon,17.1,43,5.4,0.0,0.0
122,sep,sun,22.5,42,5.4,0.0,0.0
123,sep,tue,17.9,45,3.1,0.0,0.0
124,sep,fri,19.8,50,5.4,0.0,0.0
125,oct,sun,20.6,24,5.4,0.0,0.0
126,mar,mon,9.0,49,2.2,0.0,0.0
127,sep,fri,17.2,43,3.1,0.0,0.0
128,oct,wed,15.9,46,3.6,0.0,0.0
129,oct,sun,15.4,35,0.9,0.0,0.0
130,feb,sat,15.4,40,2.7,0.0,0.0
131,mar,mon,14.0,39,3.1,0.0,0.0
132,mar,sun,10.6,46,4.9,0.0,0.0
133,sep,thu,17.6,42,3.1,0.0,0.0
134,mar,tue,14.9,38,2.7,0.0,0.0
135,aug,sat,17.6,52,5.8,0.0,0.0
136,sep,sun,17.2,58,1.3,0.0,0.0
137,sep,mon,15.6,66,3.1,0.0,0.0
138,jul,tue,18.0,42,2.7,0.0,0.36
139,sep,tue,21.7,38,2.2,0.0,0.43
140,sep,mon,21.9,39,1.8,0.0,0.47
141,aug,wed,23.3,31,4.5,0.0,0.55
142,aug,fri,21.2,51,8.9,0.0,0.61
143,jul,sat,16.6,53,5.4,0.0,0.71
144,aug,wed,23.8,32,5.4,0.0,0.77
145,aug,thu,27.4,22,4.0,0.0,0.9
146,mar,mon,13.2,40,5.4,0.0,0.95
147,sep,tue,24.2,28,3.6,0.0,0.96
148,aug,tue,17.4,43,6.7,0.0,1.07
149,sep,thu,23.7,25,4.5,0.0,1.12
150,jun,fri,23.2,39,5.4,0.0,1.19
151,jul,sun,24.8,29,2.2,0.0,1.36
152,jul,sat,24.6,43,1.8,0.0,1.43
153,sep,fri,20.1,47,4.9,0.0,1.46
154,sep,sat,29.6,27,2.7,0.0,1.46
155,aug,sun,16.4,47,1.3,0.0,1.56
156,sep,sat,28.6,27,2.2,0.0,1.61
157,aug,wed,18.4,45,3.6,0.0,1.63
158,aug,wed,20.5,35,4.0,0.0,1.64
159,sep,fri,19.0,34,5.8,0.0,1.69
160,mar,mon,16.1,29,3.1,0.0,1.75
161,aug,thu,20.3,41,4.0,0.0,1.9
162,mar,sat,15.2,31,8.5,0.0,1.94
163,sep,sat,17.8,56,1.8,0.0,1.95
164,sep,sun,17.8,67,2.2,0.0,2.01
165,mar,thu,5.3,70,4.5,0.0,2.14
166,aug,wed,16.6,47,0.9,0.0,2.29
167,aug,wed,23.4,33,4.5,0.0,2.51
168,mar,fri,14.6,26,9.4,0.0,2.53
169,aug,thu,20.7,45,2.2,0.0,2.55
170,sep,wed,21.9,35,1.8,0.0,2.57
171,aug,wed,17.4,50,4.0,0.0,2.69
172,aug,sun,20.1,39,5.4,0.0,2.74
173,sep,mon,17.7,39,2.2,0.0,3.07
174,aug,sat,14.2,53,1.8,0.0,3.5
175,aug,sat,20.3,39,4.9,0.0,4.53
176,apr,thu,5.8,54,5.8,0.0,4.61
177,aug,sun,19.2,44,2.7,0.0,4.69
178,sep,wed,18.3,45,2.2,0.0,4.88
179,aug,tue,14.4,66,5.4,0.0,5.23
180,sep,sun,23.9,32,6.7,0.0,5.33
181,oct,mon,19.1,32,4.0,0.0,5.44
182,feb,sun,12.4,53,2.2,0.0,6.38
183,oct,mon,16.8,45,4.5,0.0,6.83
184,aug,fri,20.8,34,4.9,0.0,6.96
185,sep,tue,17.6,46,3.1,0.0,7.04
186,mar,sun,11.5,39,5.8,0.0,7.19
187,sep,mon,21.0,42,2.2,0.0,7.3
188,mar,sat,13.3,42,0.9,0.0,7.4
189,mar,sun,11.5,60,4.0,0.0,8.24
190,mar,fri,11.7,33,4.0,0.0,8.31
191,aug,thu,24.2,28,2.7,0.0,8.68
192,aug,tue,24.6,22,4.5,0.0,8.71
193,sep,wed,24.3,25,4.0,0.0,9.41
194,aug,tue,24.6,22,4.5,0.0,10.01
195,aug,fri,23.5,36,5.4,0.0,10.02
196,apr,thu,5.8,54,5.8,0.0,10.93
197,sep,thu,21.5,15,0.9,0.0,11.06
198,sep,tue,13.9,59,6.3,0.0,11.24
199,sep,mon,22.6,38,3.6,0.0,11.32
200,sep,tue,21.6,33,2.2,0.0,11.53
201,mar,sun,12.4,54,3.6,0.0,12.1
202,feb,sun,8.8,68,2.2,0.0,13.05
203,oct,wed,20.2,37,2.7,0.0,13.7
204,mar,sat,15.1,64,4.0,0.0,13.99
205,sep,thu,22.1,34,1.8,0.0,14.57
206,aug,sat,22.9,31,7.2,0.0,15.45
207,sep,tue,20.7,37,2.2,0.0,17.2
208,sep,fri,19.6,33,6.3,0.0,19.23
209,sep,thu,23.2,26,4.9,0.0,23.41
210,oct,sat,18.4,25,3.1,0.0,24.23
211,aug,sat,5.1,96,5.8,0.0,26.0
212,sep,fri,20.1,47,4.9,0.0,26.13
213,mar,mon,11.0,46,5.8,0.0,27.35
214,mar,sat,17.0,27,4.9,0.0,28.66
215,mar,sat,17.0,27,4.9,0.0,28.66
216,sep,sun,16.9,60,1.3,0.0,29.48
217,sep,mon,12.4,73,6.3,0.0,30.32
218,sep,wed,19.4,19,1.3,0.0,31.72
219,mar,mon,15.2,27,3.1,0.0,31.86
220,aug,sun,16.2,59,3.1,0.0,32.07
221,sep,fri,18.6,49,3.6,0.0,35.88
222,mar,mon,11.0,46,5.8,0.0,36.85
223,jul,fri,13.4,79,3.6,0.0,37.02
224,sep,wed,15.4,57,4.5,0.0,37.71
225,sep,sun,22.9,39,4.9,0.0,48.55
226,oct,mon,16.1,44,4.0,0.0,49.37
227,aug,sat,20.1,34,4.5,0.0,58.3
228,sep,sun,28.3,26,3.1,0.0,64.1
229,aug,sat,16.4,43,4.0,0.0,71.3
230,sep,wed,26.4,21,4.5,0.0,88.49
231,sep,sun,27.8,27,3.1,0.0,95.18
232,sep,tue,18.7,43,2.7,0.0,103.39
233,sep,tue,24.3,36,3.1,0.0,105.66
234,sep,sat,17.7,25,3.1,0.0,154.88
235,aug,sun,19.6,41,5.8,0.0,196.48
236,sep,sat,18.2,46,1.8,0.0,200.94
237,sep,tue,18.8,40,2.2,0.0,212.88
238,sep,sat,25.1,27,4.0,0.0,1090.84
239,apr,sun,13.4,75,1.8,0.0,0.0
240,apr,wed,15.2,51,2.7,0.0,0.0
241,apr,fri,16.7,20,3.1,0.0,0.0
242,aug,sun,15.4,66,4.0,0.0,10.13
243,aug,sun,21.9,73,7.6,1.0,0.0
244,aug,sun,22.4,54,7.6,0.0,2.87
245,aug,sun,26.8,38,6.3,0.0,0.76
246,aug,sun,25.7,39,5.4,0.0,0.09
247,aug,wed,20.7,70,2.2,0.0,0.75
248,aug,wed,28.7,28,2.7,0.0,0.0
249,aug,wed,21.7,40,0.4,0.0,2.47
250,aug,wed,26.8,25,3.1,0.0,0.68
251,aug,wed,24.0,36,3.1,0.0,0.24
252,aug,wed,22.1,37,3.6,0.0,0.21
253,aug,thu,21.4,38,2.7,0.0,1.52
254,aug,thu,18.9,41,3.1,0.0,10.34
255,aug,thu,22.3,46,4.0,0.0,0.0
256,aug,sat,23.9,41,2.2,0.0,8.02
257,aug,sat,21.4,44,2.7,0.0,0.68
258,aug,sat,20.6,59,0.9,0.0,0.0
259,aug,sat,23.7,40,1.8,0.0,1.38
260,aug,mon,28.3,32,4.0,0.0,8.85
261,aug,fri,11.2,84,7.6,0.0,3.3
262,aug,fri,21.4,42,3.1,0.0,4.25
263,aug,fri,19.3,39,3.6,0.0,1.56
264,aug,fri,21.8,53,3.1,0.0,6.54
265,aug,tue,22.1,54,7.6,0.0,0.79
266,aug,tue,19.4,55,4.0,0.0,0.17
267,aug,tue,23.7,24,3.1,0.0,0.0
268,aug,tue,21.0,32,3.1,0.0,0.0
269,aug,tue,19.1,53,2.7,0.0,4.4
270,aug,tue,21.8,56,3.1,0.0,0.52
271,aug,tue,20.1,58,4.5,0.0,9.27
272,aug,tue,20.2,47,4.0,0.0,3.09
273,dec,sun,4.8,57,8.5,0.0,8.98
274,dec,wed,5.1,61,8.0,0.0,11.19
275,dec,thu,5.1,61,4.9,0.0,5.38
276,dec,mon,4.6,21,8.5,0.0,17.85
277,dec,mon,4.6,21,8.5,0.0,10.73
278,dec,mon,4.6,21,8.5,0.0,22.03
279,dec,mon,4.6,21,8.5,0.0,9.77
280,dec,fri,2.2,59,4.9,0.0,9.27
281,dec,tue,5.1,24,8.5,0.0,24.77
282,feb,sun,4.2,51,4.0,0.0,0.0
283,feb,wed,8.8,35,3.1,0.0,1.1
284,feb,fri,7.5,46,8.0,0.0,24.24
285,jul,sun,23.4,40,6.3,0.0,0.0
286,jul,wed,12.6,90,7.6,0.2,0.0
287,jul,sat,22.1,49,2.7,0.0,0.0
288,jul,sat,24.2,32,1.8,0.0,0.0
289,jul,sat,24.3,30,1.8,0.0,0.0
290,jul,sat,18.7,53,1.8,0.0,0.0
291,jul,sat,25.3,39,0.9,0.0,8.0
292,jul,fri,22.9,40,1.3,0.0,2.64
293,jul,tue,26.9,28,5.4,0.0,86.45
294,jul,tue,17.1,67,3.6,0.0,6.57
295,jun,sun,22.2,48,1.3,0.0,0.0
296,jun,sun,14.3,46,1.8,0.0,0.9
297,jun,sun,15.4,45,2.2,0.0,0.0
298,jun,wed,19.6,43,4.9,0.0,0.0
299,jun,sat,10.6,90,2.7,0.0,0.0
300,jun,mon,20.7,25,4.9,0.0,0.0
301,jun,mon,19.1,39,5.4,0.0,3.52
302,jun,fri,19.2,38,4.5,0.0,0.0
303,jun,fri,19.2,38,4.5,0.0,0.0
304,may,sat,11.3,94,4.9,0.0,0.0
305,sep,sun,19.0,52,2.2,0.0,0.0
306,sep,sun,17.1,53,5.4,0.0,0.41
307,sep,sun,23.8,35,3.6,0.0,5.18
308,sep,sun,16.0,45,1.8,0.0,0.0
309,sep,sun,24.9,27,2.2,0.0,0.0
310,sep,sun,25.3,27,2.7,0.0,0.0
311,sep,sun,24.8,28,1.8,0.0,14.29
312,sep,sun,12.2,78,6.3,0.0,0.0
313,sep,wed,24.3,27,4.9,0.0,0.0
314,sep,wed,19.7,41,1.8,0.0,1.58
315,sep,wed,18.5,30,2.7,0.0,0.0
316,sep,thu,18.6,24,5.8,0.0,0.0
317,sep,thu,19.2,24,4.9,0.0,3.78
318,sep,thu,21.6,27,2.2,0.0,0.0
319,sep,thu,21.6,28,6.3,0.0,4.41
320,sep,thu,18.9,34,7.2,0.0,34.36
321,sep,thu,16.8,28,4.0,0.0,7.21
322,sep,thu,16.8,28,4.0,0.0,1.01
323,sep,thu,12.9,39,2.7,0.0,2.18
324,sep,thu,13.7,56,1.8,0.0,4.42
325,sep,sat,24.2,27,3.1,0.0,0.0
326,sep,sat,24.1,27,3.1,0.0,0.0
327,sep,sat,21.2,32,2.2,0.0,0.0
328,sep,sat,19.7,35,1.8,0.0,0.0
329,sep,sat,23.5,27,4.0,0.0,3.33
330,sep,sat,24.2,27,3.1,0.0,6.58
331,sep,sat,21.5,28,4.5,0.0,15.64
332,sep,sat,17.1,41,2.2,0.0,11.22
333,sep,mon,18.1,54,3.1,0.0,2.13
334,sep,mon,18.0,51,5.4,0.0,0.0
335,sep,mon,9.8,86,1.8,0.0,0.0
336,sep,mon,19.3,44,2.2,0.0,0.0
337,sep,mon,23.0,34,2.2,0.0,56.04
338,sep,mon,22.7,35,2.2,0.0,7.48
339,sep,mon,20.4,41,1.8,0.0,1.47
340,sep,mon,19.3,44,2.2,0.0,3.93
341,sep,mon,15.7,51,2.2,0.0,0.0
342,sep,mon,20.6,37,1.8,0.0,0.0
343,sep,mon,15.9,51,4.5,0.0,2.18
344,sep,mon,12.2,66,4.9,0.0,6.1
345,sep,mon,16.8,43,3.1,0.0,5.83
346,sep,mon,21.3,35,2.2,0.0,28.19
347,sep,fri,10.1,75,3.6,0.0,0.0
348,sep,fri,17.4,57,4.5,0.0,0.0
349,sep,fri,12.8,64,3.6,0.0,1.64
350,sep,fri,10.1,75,3.6,0.0,3.71
351,sep,fri,15.4,53,6.3,0.0,7.31
352,sep,fri,20.6,43,3.6,0.0,2.03
353,sep,fri,19.8,47,2.7,0.0,1.72
354,sep,fri,18.7,50,2.2,0.0,5.97
355,sep,fri,20.8,35,4.9,0.0,13.06
356,sep,fri,20.8,35,4.9,0.0,1.26
357,sep,fri,15.9,55,3.6,0.0,0.0
358,sep,fri,19.7,39,2.7,0.0,0.0
359,sep,fri,21.1,39,2.2,0.0,8.12
360,sep,fri,18.4,42,2.2,0.0,1.09
361,sep,fri,17.3,45,4.0,0.0,3.94
362,sep,fri,15.2,64,3.1,0.0,0.52
363,sep,tue,15.9,53,2.2,0.0,2.93
364,sep,tue,21.1,35,2.7,0.0,5.65
365,sep,tue,19.6,45,3.1,0.0,20.03
366,sep,tue,15.9,38,5.4,0.0,1.75
367,sep,tue,16.4,27,3.6,0.0,0.0
368,sep,sat,16.8,47,4.9,0.0,12.64
369,sep,sun,13.8,77,7.6,0.0,0.0
370,sep,sun,13.8,77,7.6,0.0,11.06
371,jul,wed,14.2,58,4.0,0.0,0.0
372,aug,sun,10.4,75,0.9,0.0,0.0
373,aug,thu,20.3,42,2.7,0.0,0.0
374,sep,fri,10.3,78,4.0,0.0,18.3
375,sep,sat,15.4,57,4.9,0.0,39.35
376,aug,mon,21.1,54,2.2,0.0,0.0
377,aug,sat,21.9,42,2.2,0.0,174.63
378,mar,thu,8.7,51,5.8,0.0,0.0
379,jan,sun,5.2,100,0.9,0.0,0.0
380,jul,wed,19.3,39,7.2,0.0,7.73
381,aug,thu,16.2,63,2.7,0.0,16.33
382,aug,wed,28.2,29,1.8,0.0,5.86
383,aug,thu,20.5,58,2.7,0.0,42.87
384,aug,sat,21.3,44,4.5,0.0,12.18
385,aug,sun,20.9,50,2.2,0.0,16.0
386,sep,sun,20.6,55,5.4,0.0,24.59
387,mar,thu,11.6,48,5.4,0.0,0.0
388,aug,fri,23.3,34,3.1,0.0,28.74
389,aug,fri,23.3,34,3.1,0.0,0.0
390,feb,mon,7.5,71,6.3,0.0,9.96
391,sep,fri,20.7,46,2.7,0.0,30.18
392,sep,sun,21.9,43,4.0,0.0,70.76
393,mar,tue,15.2,19,7.6,0.0,0.0
394,feb,mon,5.3,68,1.8,0.0,0.0
395,feb,sun,10.1,62,1.8,0.0,51.78
396,sep,sun,20.4,55,4.9,0.0,3.64
397,aug,sun,24.3,33,3.6,0.0,3.63
398,aug,sat,25.9,32,3.1,0.0,0.0
399,jun,wed,28.0,34,4.5,0.0,0.0
400,jun,wed,28.0,34,4.5,0.0,8.16
401,sep,thu,22.8,46,4.0,0.0,4.95
402,aug,fri,25.0,36,4.0,0.0,0.0
403,aug,thu,21.3,41,3.6,0.0,0.0
404,sep,wed,21.8,34,2.2,0.0,6.04
405,aug,tue,27.9,27,2.2,0.0,0.0
406,sep,sat,17.0,67,4.9,0.0,3.95
407,feb,sat,14.2,46,4.0,0.0,0.0
408,sep,fri,19.9,44,3.1,0.0,7.8
409,jul,tue,23.4,31,5.4,0.0,0.0
410,feb,fri,14.7,42,2.7,0.0,0.0
411,feb,fri,8.2,53,9.4,0.0,4.62
412,jul,mon,22.8,27,4.5,0.0,1.63
413,aug,sat,26.4,33,3.6,0.0,0.0
414,aug,sun,24.1,50,4.0,0.0,0.0
415,aug,thu,27.5,27,4.9,0.0,746.28
416,jul,tue,26.3,39,3.1,0.0,7.02
417,mar,wed,13.8,24,5.8,0.0,0.0
418,aug,sun,24.9,42,5.4,0.0,2.44
419,aug,sun,24.8,36,4.0,0.0,3.05
420,aug,wed,26.2,36,4.5,0.0,185.76
421,aug,wed,30.8,19,4.5,0.0,0.0
422,jul,sun,29.3,27,3.6,0.0,6.3
423,sep,sat,22.3,48,4.0,0.0,0.72
424,aug,sat,26.9,31,3.6,0.0,4.96
425,aug,thu,20.4,56,2.2,0.0,0.0
426,aug,thu,20.4,56,2.2,0.0,0.0
427,aug,mon,27.9,33,2.2,0.0,2.35
428,aug,thu,26.2,34,5.8,0.0,0.0
429,aug,sun,24.6,44,4.0,0.0,3.2
430,sep,thu,19.4,45,3.6,0.0,0.0
431,aug,sat,23.3,40,4.0,0.0,6.36
432,aug,thu,23.9,38,6.7,0.0,0.0
433,aug,sun,20.9,66,4.9,0.0,15.34
434,aug,fri,22.2,45,3.6,0.0,0.0
435,jul,sat,23.8,51,1.8,0.0,0.0
436,aug,mon,26.8,35,1.3,0.0,0.54
437,aug,sat,14.2,73,2.7,0.0,0.0
438,aug,sat,23.6,53,4.0,0.0,6.43
439,sep,fri,19.1,46,2.2,0.0,0.33
440,sep,fri,16.2,58,3.6,0.0,0.0
441,aug,mon,25.5,29,1.8,0.0,1.23
442,apr,mon,10.9,64,3.1,0.0,3.35
443,jul,fri,14.8,78,8.0,0.0,0.0
444,sep,fri,16.2,58,3.6,0.0,9.96
445,aug,sun,17.3,80,4.5,0.0,0.0
446,aug,sun,19.1,70,2.2,0.0,0.0
447,mar,wed,8.9,35,8.0,0.0,0.0
448,sep,wed,10.5,77,4.0,0.0,0.0
449,aug,sun,19.3,61,4.9,0.0,0.0
450,aug,wed,23.4,49,5.4,0.0,6.43
451,aug,fri,11.8,88,4.9,0.0,9.71
452,aug,mon,17.7,65,4.0,0.0,0.0
453,aug,thu,17.4,54,3.1,0.0,0.0
454,aug,thu,16.8,56,3.1,0.0,0.0
455,jul,mon,17.9,48,2.7,0.0,0.0
456,aug,thu,16.6,59,2.7,0.0,0.0
457,aug,wed,19.9,50,4.0,0.0,82.75
458,aug,sat,18.9,64,4.9,0.0,3.32
459,aug,sat,15.5,72,8.0,0.0,1.94
460,aug,sat,18.9,64,4.9,0.0,0.0
461,aug,sat,18.9,64,4.9,0.0,0.0
462,sep,sun,14.5,76,7.6,0.0,3.71
463,feb,tue,4.6,82,6.3,0.0,5.39
464,feb,tue,5.1,77,5.4,0.0,2.14
465,feb,sat,4.6,59,0.9,0.0,6.84
466,mar,mon,10.2,45,5.8,0.0,3.18
467,mar,wed,11.2,41,5.4,0.0,5.55
468,mar,thu,13.3,27,3.6,0.0,6.61
469,apr,sun,13.7,33,9.4,0.0,61.13
470,apr,sun,17.6,27,5.8,0.0,0.0
471,may,fri,18.0,40,4.0,0.0,38.48
472,jun,mon,14.3,79,4.0,0.0,1.94
473,jun,sat,24.5,50,3.1,0.0,70.32
474,jun,thu,26.4,35,2.7,0.0,10.08
475,jun,thu,22.7,40,9.4,0.0,3.19
476,jul,thu,27.2,28,1.3,0.0,1.76
477,jul,sun,26.1,45,4.0,0.0,7.36
478,jul,sun,18.2,82,4.5,0.0,2.21
479,jul,mon,22.6,57,4.9,0.0,278.53
480,jul,thu,30.2,25,4.5,0.0,2.75
481,jul,thu,30.2,22,4.9,0.0,0.0
482,aug,sun,23.4,40,5.8,0.0,1.29
483,aug,sun,31.0,27,5.4,0.0,0.0
484,aug,sun,33.1,25,4.0,0.0,26.43
485,aug,mon,30.6,28,3.6,0.0,2.07
486,aug,tue,24.1,43,6.3,0.0,2.0
487,aug,tue,26.4,34,3.6,0.0,16.4
488,aug,tue,19.4,71,7.6,0.0,46.7
489,aug,wed,20.6,58,1.3,0.0,0.0
490,aug,wed,28.7,33,4.0,0.0,0.0
491,aug,thu,32.4,21,4.5,0.0,0.0
492,aug,fri,32.4,27,2.2,0.0,0.0
493,aug,fri,27.5,29,4.5,0.0,43.32
494,aug,sat,30.8,30,4.9,0.0,8.59
495,aug,mon,23.9,42,2.2,0.0,0.0
496,aug,mon,32.6,26,3.1,0.0,2.77
497,aug,tue,32.3,27,2.2,0.0,14.68
498,aug,tue,33.3,26,2.7,0.0,40.54
499,aug,tue,27.3,63,4.9,6.4,10.82
500,aug,tue,21.6,65,4.9,0.8,0.0
501,aug,tue,21.6,65,4.9,0.8,0.0
502,aug,tue,20.7,69,4.9,0.4,0.0
503,aug,wed,29.2,30,4.9,0.0,1.95
504,aug,wed,28.9,29,4.9,0.0,49.59
505,aug,thu,26.7,35,1.8,0.0,5.8
506,aug,fri,18.5,73,8.5,0.0,0.0
507,aug,fri,25.9,41,3.6,0.0,0.0
508,aug,fri,25.9,41,3.6,0.0,0.0
509,aug,fri,21.1,71,7.6,1.4,2.17
510,aug,fri,18.2,62,5.4,0.0,0.43
511,aug,sun,27.8,35,2.7,0.0,0.0
512,aug,sun,27.8,32,2.7,0.0,6.44
513,aug,sun,21.9,71,5.8,0.0,54.29
514,aug,sun,21.2,70,6.7,0.0,11.16
515,aug,sat,25.6,42,4.0,0.0,0.0
516,nov,tue,11.8,31,4.5,0.0,0.0
